time,q1,q2,q3,q4,q5,q6,qd1,qd2,qd3,qd4,qd5,qd6,qdd1,qdd2,qdd3,qdd4,qdd5,qdd6
1.825000,0.147966,-1.565310,1.782655,-1.373983,1.546585,-0.060707,-0.384015,0.256010,-0.128005,0.192007,-0.172807,-0.448017,-1.526519,1.017679,-0.508840,0.763259,-0.686933,-1.780938
1.850000,0.137891,-1.558594,1.779297,-1.368945,1.542051,-0.072461,-0.421875,0.281250,-0.140625,0.210937,-0.189844,-0.492187,-1.500000,1.000000,-0.500000,0.750000,-0.675000,-1.750000
1.875000,0.126879,-1.551253,1.775626,-1.363439,1.537095,-0.085308,-0.458904,0.305936,-0.152968,0.229452,-0.206507,-0.535388,-1.460148,0.973432,-0.486716,0.730074,-0.657067,-1.703506
1.900000,0.114955,-1.543303,1.771652,-1.357478,1.531730,-0.099219,-0.494779,0.329852,-0.164926,0.247389,-0.222650,-0.577242,-1.407852,0.938568,-0.469284,0.703926,-0.633533,-1.642494
1.925000,0.102152,-1.534768,1.767384,-1.351076,1.525968,-0.114156,-0.529200,0.352800,-0.176400,0.264600,-0.238140,-0.617400,-1.344000,0.896000,-0.448000,0.672000,-0.604800,-1.568000
1.950000,0.088509,-1.525673,1.762836,-1.344255,1.519829,-0.130072,-0.561890,0.374593,-0.187297,0.280945,-0.252850,-0.655538,-1.269481,0.846321,-0.423160,0.634741,-0.571267,-1.481062
1.975000,0.074074,-1.516049,1.758025,-1.337037,1.513333,-0.146914,-0.592593,0.395062,-0.197531,0.296296,-0.266667,-0.691358,-1.185185,0.790123,-0.395062,0.592593,-0.533333,-1.382716
2.000000,0.058898,-1.505932,1.752966,-1.329449,1.506504,-0.164619,-0.621075,0.414050,-0.207025,0.310537,-0.279484,-0.724587,-1.092000,0.728000,-0.364000,0.546000,-0.491400,-1.274000
2.025000,0.043041,-1.495360,1.747680,-1.321520,1.499368,-0.183119,-0.647126,0.431417,-0.215709,0.323563,-0.291207,-0.754980,-0.990815,0.660543,-0.330272,0.495407,-0.445867,-1.155951
2.050000,0.026564,-1.484376,1.742188,-1.313282,1.491954,-0.202342,-0.670556,0.447038,-0.223519,0.335278,-0.301750,-0.782316,-0.882519,0.588346,-0.294173,0.441259,-0.397133,-1.029605
2.075000,0.009536,-1.473024,1.736512,-1.304768,1.484291,-0.222208,-0.691200,0.460800,-0.230400,0.345600,-0.311040,-0.806400,-0.768000,0.512000,-0.256000,0.384000,-0.345600,-0.896000
2.100000,-0.007972,-1.461352,1.730676,-1.296014,1.476413,-0.242634,-0.708912,0.472608,-0.236304,0.354456,-0.319010,-0.827064,-0.648148,0.432099,-0.216049,0.324074,-0.291667,-0.756173
